               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.044112,            0.040509,            0.020579,             0.67123,             0.53627,             0.60025,             0.36918,            0.043519,            0.019613,            0.016553,            0.006898,            0.006898,            0.006898
                  96,            0.044034,            0.040108,            0.021209,             0.67548,             0.53673,             0.60036,             0.36956,            0.043498,            0.019606,            0.016532,            0.006865,            0.006865,            0.006865
                  97,            0.044253,            0.040391,            0.020959,             0.67467,             0.53796,             0.60062,                0.37,            0.043472,            0.019598,            0.016506,            0.006832,            0.006832,            0.006832
                  98,            0.044165,             0.04035,            0.020931,             0.67544,             0.53919,              0.6014,             0.37039,             0.04345,             0.01959,            0.016487,            0.006799,            0.006799,            0.006799
                  99,            0.044015,            0.040206,            0.021089,             0.67372,             0.53999,             0.60209,             0.37104,            0.043428,            0.019581,            0.016469,            0.006766,            0.006766,            0.006766
                 100,            0.044106,            0.040282,            0.020734,             0.67655,             0.53827,             0.60319,              0.3715,            0.043409,            0.019573,            0.016452,            0.006733,            0.006733,            0.006733
                 101,            0.043938,            0.040719,            0.020382,             0.67274,              0.5426,             0.60337,             0.37196,            0.043388,            0.019565,             0.01643,              0.0067,              0.0067,              0.0067
                 102,            0.044104,            0.040384,            0.020313,             0.67257,             0.54271,             0.60366,             0.37246,            0.043365,            0.019557,            0.016412,            0.006667,            0.006667,            0.006667
                 103,            0.043825,            0.040277,            0.020619,             0.67612,             0.54008,             0.60404,             0.37285,            0.043345,            0.019549,            0.016398,            0.006634,            0.006634,            0.006634
                 104,            0.043945,             0.04026,            0.020465,             0.67634,             0.54081,             0.60466,             0.37332,            0.043327,            0.019541,            0.016381,            0.006601,            0.006601,            0.006601
                 105,            0.043941,            0.040277,            0.020414,             0.67727,             0.54006,             0.60446,             0.37393,            0.043309,            0.019533,             0.01637,            0.006568,            0.006568,            0.006568
                 106,            0.043787,              0.0403,            0.020412,             0.67618,             0.54194,             0.60538,             0.37447,            0.043292,            0.019525,            0.016351,            0.006535,            0.006535,            0.006535
                 107,            0.043895,            0.040357,            0.020763,             0.67799,             0.54146,             0.60616,             0.37509,            0.043273,            0.019517,            0.016337,            0.006502,            0.006502,            0.006502
